year,origin,destination,trade_value
2000,ARG,ZWE,6472760.0
2000,ARM,ALB,131387.0
2000,ARM,ARE,5449182.0
2000,ARM,ARG,455.0
2000,ARM,AUS,26285.0
2000,ARM,AUT,41564.0
2000,ARM,BEL,76725913.0
2000,ARM,BGR,689686.0
2000,ARM,BHR,13.0
2000,ARM,BLR,1396299.0
2000,ARM,BOL,1270.0
2000,ARM,BRA,117140.0
2000,ARM,BRB,2398.0
2000,ARM,BRN,13.0
2000,ARM,CAN,1800283.0
2000,ARM,CHE,20952180.0
2000,ARM,CHL,1766.0
2000,ARM,CHN,4116881.000000001
2000,ARM,COL,23724.0
2000,ARM,CUB,245.0
2000,ARM,CYP,1636027.0
2000,ARM,CZE,123648.0
2000,ARM,DEU,24627158.0
2000,ARM,DZA,6327.0
2000,ARM,ECU,516.0
2000,ARM,EGY,11468.0
2000,ARM,ESP,194684.0
2000,ARM,EST,171218.0
2000,ARM,FIN,64000.0
2000,ARM,FRA,689393.0
2000,ARM,GBR,18211952.0
2000,ARM,GEO,16716318.0
2000,ARM,GIB,551061.0
2000,ARM,GRC,3466700.0
2000,ARM,GUY,32.0
2000,ARM,HKG,45989.0
2000,ARM,HUN,398667.0
2000,ARM,IND,622934.0
2000,ARM,IRL,2481.0
2000,ARM,IRN,35799003.0
2000,ARM,ISR,17297268.0
2000,ARM,ITA,2988821.0
2000,ARM,JOR,41825.0
2000,ARM,JPN,222825.0
2000,ARM,KAZ,1772662.0
2000,ARM,KGZ,13725.0
2000,ARM,KOR,49344.0
2000,ARM,LBN,234996.0
2000,ARM,LTU,166053.0
2000,ARM,LUX,26.0
2000,ARM,LVA,360743.0
2000,ARM,MAC,329.0
2000,ARM,MDA,131644.0
2000,ARM,MEX,3047.0
2000,ARM,MKD,29478.0
2000,ARM,MLT,14650.0
2000,ARM,NLD,4306320.0
2000,ARM,NOR,12522.0
2000,ARM,NZL,47592.0
2000,ARM,OMN,501678.0
2000,ARM,PAK,71909.0
