year,origin,destination,migrant_stock
2000,BLZ,DNK,6
2000,BLZ,FIN,2
2000,BLZ,GRC,2
2000,BLZ,GTM,579
2000,BLZ,HND,271
2000,BLZ,HUN,1
2000,BLZ,ISL,1
2000,BLZ,JAM,7
2000,BLZ,LCA,1
2000,BLZ,MEX,1133
2000,BLZ,NIC,34
2000,BLZ,NOR,4
2000,BLZ,PAN,86
2000,BLZ,SLV,218
2000,BLZ,VEN,17
2000,BOL,ARG,223303
2000,BOL,AUS,694
2000,BOL,BGR,10
2000,BOL,BRA,20064
2000,BOL,CAN,2199
2000,BOL,CHL,10099
2000,BOL,COL,524
2000,BOL,CRI,282
2000,BOL,CUB,55
2000,BOL,CYP,5
2000,BOL,DNK,164
2000,BOL,DOM,443
2000,BOL,ECU,601
2000,BOL,ESP,11247
2000,BOL,FIN,44
2000,BOL,GRC,18
2000,BOL,GTM,86
2000,BOL,HND,110
2000,BOL,HUN,40
2000,BOL,ISL,11
2000,BOL,ITA,2248
2000,BOL,JPN,4199
2000,BOL,MEX,1401
2000,BOL,NIC,46
2000,BOL,NOR,263
2000,BOL,PAN,189
2000,BOL,PER,15
2000,BOL,PRT,51
2000,BOL,PRY,1140
2000,BOL,SLV,44
2000,BOL,SVK,2
2000,BOL,VEN,1838
2000,BRA,ARG,35180
2000,BRA,AUS,4754
2000,BRA,AUT,2562
2000,BRA,BEL,4228
2000,BRA,BGD,10221
2000,BRA,BGR,42
2000,BRA,BHS,47
2000,BRA,BLR,97
2000,BRA,BOL,14801
2000,BRA,CAN,11228
2000,BRA,CHE,21527
2000,BRA,CHL,6309
2000,BRA,CHN,2043
2000,BRA,COL,2033
2000,BRA,CPV,130
2000,BRA,CRI,415
2000,BRA,CYP,27
2000,BRA,CZE,91
2000,BRA,DNK,1513
2000,BRA,DOM,1160
2000,BRA,ECU,1066
2000,BRA,EGY,99
2000,BRA,ESP,29663
2000,BRA,FIN,243
2000,BRA,FRA,29975
2000,BRA,GHA,8
2000,BRA,GIN,199
2000,BRA,GRC,2094
2000,BRA,GTM,151
2000,BRA,GUY,1074
2000,BRA,HND,176
2000,BRA,HRV,103
2000,BRA,HUN,346
2000,BRA,IRL,1098
2000,BRA,ISL,28
2000,BRA,ISR,7248
2000,BRA,ITA,38936
2000,BRA,JPN,245685
2000,BRA,LBY,188
2000,BRA,LCA,9
2000,BRA,LIE,65
2000,BRA,LTU,65
2000,BRA,LUX,262
2000,BRA,LVA,17
2000,BRA,MEX,2377
2000,BRA,MLT,40
2000,BRA,MRT,157
2000,BRA,NAM,702
2000,BRA,NIC,107
2000,BRA,NLD,8063
2000,BRA,NOR,1260
2000,BRA,NZL,612
2000,BRA,PAN,802
2000,BRA,PER,2870
2000,BRA,POL,186
2000,BRA,PRT,49599
2000,BRA,PRY,83208
2000,BRA,SEN,506
2000,BRA,SLV,198
2000,BRA,SMR,23
2000,BRA,SUR,3204
2000,BRA,SVK,66
2000,BRA,SVN,20
2000,BRA,SWE,3432
2000,BRA,TLS,181
2000,BRA,URY,11507
2000,BRA,USA,240109
2000,BRA,VEN,4828
2000,BRB,ATG,248
2000,BRB,AUS,370
2000,BRB,BGR,2
2000,BRB,BHS,108
2000,BRB,CAN,14663
2000,BRB,CHL,36
2000,BRB,CRI,8
2000,BRB,CUW,197
2000,BRB,DMA,95
2000,BRB,DNK,23
2000,BRB,FIN,7
2000,BRB,GRC,8
2000,BRB,GRD,161
2000,BRB,GUY,216
2000,BRB,HUN,3
2000,BRB,ISL,1
2000,BRB,JAM,575
2000,BRB,KNA,79
2000,BRB,LCA,600
2000,BRB,LVA,3
2000,BRB,NOR,20
2000,BRB,PAN,46
2000,BRB,SLV,35
2000,BRB,TTO,1573
2000,BRB,VCT,328
2000,BRB,VEN,83
2000,BRN,AUS,2105
2000,BRN,CAN,4342
2000,BRN,CYP,2
2000,BRN,DNK,4
2000,BRN,IND,30195
2000,BRN,MYS,8533
2000,BRN,NOR,21
2000,BRN,TJK,27
2000,BTN,AUS,70
2000,BTN,BGR,13
2000,BTN,CAN,30
2000,BTN,CHN,383
2000,BTN,CRI,3
2000,BTN,DNK,9
2000,BTN,DOM,11
2000,BTN,GRC,3
2000,BTN,IND,7999
2000,BTN,LKA,56
2000,BTN,NOR,15
2000,BTN,NPL,111196
2000,BWA,AUS,670
2000,BWA,BGR,15
2000,BWA,CYP,4
2000,BWA,DNK,59
2000,BWA,FIN,3
2000,BWA,GRC,3
2000,BWA,HUN,4
2000,BWA,LSO,102
2000,BWA,NAM,865
2000,BWA,NOR,82
2000,BWA,SWZ,83
2000,BWA,TZA,116
2000,BWA,ZMB,111
2000,BWA,ZWE,4012
2000,CAN,ALB,1337
2000,CAN,ARG,2673
2000,CAN,ATG,356
2000,CAN,AUS,30253
2000,CAN,BEL,4078
2000,CAN,BGR,111
2000,CAN,BHS,1351
2000,CAN,BLR,160
2000,CAN,BLZ,487
