year,origin,destination,route_count
2014,DEU,ARG,1
2014,DEU,AUT,67
2014,DEU,AZE,3
2014,DEU,BEL,15
2014,DEU,BGR,11
2014,DEU,BHR,1
2014,DEU,BIH,4
2014,DEU,BLR,4
2014,DEU,BRA,8
2014,DEU,CAN,19
2014,DEU,CHE,42
2014,DEU,CHN,19
2014,DEU,COL,2
2014,DEU,CPV,5
2014,DEU,CUB,4
2014,DEU,CYP,8
2014,DEU,CZE,14
2014,DEU,DNK,27
2014,DEU,DOM,7
2014,DEU,DZA,3
2014,DEU,EGY,18
2014,DEU,ESP,354
2014,DEU,EST,2
2014,DEU,ETH,2
2014,DEU,FIN,19
2014,DEU,FRA,84
2014,DEU,GBR,103
2014,DEU,GEO,1
2014,DEU,GGY,2
2014,DEU,GHA,1
2014,DEU,GRC,176
2014,DEU,HKG,3
2014,DEU,HRV,57
2014,DEU,HUN,11
2014,DEU,IND,14
2014,DEU,IRL,19
2014,DEU,IRN,5
2014,DEU,IRQ,5
2014,DEU,ISL,4
2014,DEU,ISR,12
2014,DEU,ITA,221
2014,DEU,JAM,1
2014,DEU,JEY,3
2014,DEU,JOR,7
2014,DEU,JPN,11
2014,DEU,KAZ,4
2014,DEU,KEN,2
2014,DEU,KOR,4
2014,DEU,KWT,2
2014,DEU,LBN,3
2014,DEU,LKA,1
2014,DEU,LTU,7
2014,DEU,LUX,9
2014,DEU,LVA,14
2014,DEU,MAR,20
2014,DEU,MDA,2
2014,DEU,MDV,1
2014,DEU,MEX,4
2014,DEU,MKD,5
2014,DEU,MLT,8
2014,DEU,MNE,2
2014,DEU,MUS,1
2014,DEU,MYS,3
2014,DEU,NAM,1
2014,DEU,NGA,4
2014,DEU,NLD,27
2014,DEU,NOR,26
2014,DEU,OMN,2
2014,DEU,POL,44
2014,DEU,PRI,1
2014,DEU,PRT,64
2014,DEU,QAT,9
2014,DEU,ROU,15
2014,DEU,RUS,46
2014,DEU,SAU,10
2014,DEU,SGP,7
2014,DEU,SRB,25
2014,DEU,SVN,4
2014,DEU,SWE,29
2014,DEU,SYC,1
2014,DEU,THA,4
2014,DEU,TJK,1
2014,DEU,TKM,1
2014,DEU,TTO,1
2014,DEU,TUN,32
2014,DEU,TWN,1
2014,DEU,UKR,12
2014,DEU,USA,115
2014,DEU,UZB,1
2014,DEU,VEN,1
2014,DEU,VNM,4
2014,DEU,ZAF,6
2014,DJI,ARE,4
2014,DJI,COM,1
2014,DJI,ETH,5
2014,DJI,FRA,1
2014,DJI,KEN,2
2014,DJI,SAU,1
2014,DJI,SOM,5
2014,DJI,YEM,3
2014,DMA,ATG,1
2014,DMA,BRB,1
2014,DMA,GLP,3
2014,DMA,PRI,4
2014,DMA,VCT,1
2014,DMA,VGB,3
2014,DNK,ARE,2
2014,DNK,AUT,5
2014,DNK,BEL,5
2014,DNK,BGR,1
2014,DNK,BIH,1
2014,DNK,CAN,3
2014,DNK,CHE,7
2014,DNK,CHN,3
