year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock,trade_value
2000,ANT,SLV,,,,76209453.0
2000,ANT,SVK,,,,31551.0
2000,ANT,SVN,,,,225.0
2000,ANT,SWE,,,,88977.0
2000,ANT,SWZ,,,,74591.0
2000,ANT,TGO,,,,147.0
2000,ANT,THA,,,,2309385.0
2000,ANT,TTO,,,,8077570.0
2000,ANT,TUN,,,,16906.0
2000,ANT,TUR,,,,56567.0
2000,ANT,TWN,,,,739826.0
2000,ANT,TZA,,,,30558.0
2000,ANT,UGA,,,,22339.0
2000,ANT,URY,,,,35960.0
2000,ANT,USA,,,,555998215.0
2000,ANT,VCT,,,,632848.0
2000,ANT,VEN,,,,299613496.0
2000,ANT,ZAF,,,,113248.0
2000,ANT,ZWE,,,,375064.0
2000,ARE,AFG,,7,,
2000,ARE,AGO,,2,,
2000,ARE,ALB,,,,1191499.0
2000,ARE,AND,,,,215.0
2000,ARE,ARG,,,,2628459.0
2000,ARE,ARM,,2,,37568296.0
2000,ARE,AUS,6,16,1393,522194713.0
2000,ARE,AUT,4,2,,6196581.0
2000,ARE,AZE,,2,,19328442.0
2000,ARE,BEL,6,3,,333851820.0
2000,ARE,BEN,,,,224682.0
2000,ARE,BFA,,,,587793.0
2000,ARE,BGD,4,10,,
2000,ARE,BGR,,1,26,5914594.0
2000,ARE,BHR,6,15,1948,
2000,ARE,BLR,,2,23,1094755.0
2000,ARE,BOL,,,2,135432.0
2000,ARE,BRA,6,3,,60989811.0
2000,ARE,BRB,,,,10577.0
2000,ARE,BRN,,1,,
2000,ARE,CAN,6,3,5366,94088206.0
2000,ARE,CHE,,7,,64905849.0
2000,ARE,CHL,,,,483841.0
2000,ARE,CHN,6,16,,376213277.0
2000,ARE,CIV,,,,1648920.0
2000,ARE,CMR,,,,1431122.0
2000,ARE,COL,,,,210456.0
2000,ARE,CPV,,,,129.0
2000,ARE,CRI,,,,25557.0
2000,ARE,CUB,,,,1190323.0
2000,ARE,CYP,,3,69,10227347.0
2000,ARE,CZE,,2,,16617085.0
2000,ARE,DEU,6,23,,129776769.0
2000,ARE,DJI,,1,,
2000,ARE,DMA,,,,76885.0
2000,ARE,DNK,,2,194,66833916.0
2000,ARE,DZA,6,2,,23606855.0
2000,ARE,ECU,,,,1856789.0
2000,ARE,EGY,6,11,671,
2000,ARE,ESP,6,2,,84891410.0
2000,ARE,EST,,,,1246342.0
2000,ARE,ETH,,3,,27789677.0
2000,ARE,FIN,,,30,2742890.0
2000,ARE,FRA,6,7,,174716953.0
2000,ARE,GAB,,,,4868614.0
2000,ARE,GBR,6,22,,696431438.0
2000,ARE,GEO,,1,,9772910.0
2000,ARE,GHA,,1,,
2000,ARE,GIN,,,,4075899.0
2000,ARE,GRC,,3,77,12009147.0
2000,ARE,GRD,,,,17019.0
2000,ARE,GTM,,,,131354.0
2000,ARE,GUY,,,,100656.0
2000,ARE,HKG,,4,,522278758.0
2000,ARE,HND,,,,416927.0
2000,ARE,HRV,,,,582712.0
2000,ARE,HUN,,1,123,722647.0
2000,ARE,IDN,4,5,,177102070.0
2000,ARE,IND,6,88,13769,983346000.0
2000,ARE,IRL,,4,,25366407.0
2000,ARE,IRN,6,24,,985442590.0
2000,ARE,IRQ,6,15,248,
2000,ARE,ISL,,,1,4227642.0
2000,ARE,ITA,6,8,109,150662009.0
2000,ARE,JAM,,,,233446.0
2000,ARE,JOR,6,9,,45080472.0
2000,ARE,JPN,6,8,,13136775313.0
2000,ARE,KAZ,,7,616,1482407.0
2000,ARE,KEN,,9,,368535262.0
2000,ARE,KGZ,,1,,6923280.0
2000,ARE,KHM,,,,108329.0
2000,ARE,KNA,,,,955.0
2000,ARE,KOR,6,5,,4185083219.0
2000,ARE,KWT,6,12,9112,
2000,ARE,LBN,6,6,,46326418.0
2000,ARE,LBY,,1,2044,
2000,ARE,LCA,,,,147027.0
2000,ARE,LKA,,12,413,131667855.0
2000,ARE,LTU,,,14,345853.0
2000,ARE,LUX,,,,1114047.0
2000,ARE,LVA,,,2,2786565.0
2000,ARE,MAC,,,,430983.0
2000,ARE,MAR,6,4,,
2000,ARE,MDA,,1,,332432.0
2000,ARE,MDG,,,,1983993.0
2000,ARE,MDV,,4,,31517654.0
2000,ARE,MEX,,,,16328735.0
2000,ARE,MKD,,1,,1112138.0
2000,ARE,MLI,,,,793768.0
2000,ARE,MLT,,1,9,3699429.0
2000,ARE,MRT,,,68,1159073.0
2000,ARE,MUS,,2,,22453601.0
2000,ARE,MWI,,,,3119672.0
2000,ARE,MYS,,8,,275761664.0
2000,ARE,MYT,,,,2034351.0
2000,ARE,NAM,,,,714576.0
2000,ARE,NER,,,,853534.0
2000,ARE,NGA,,2,,33846756.0
2000,ARE,NIC,,,,22078.0
2000,ARE,NLD,,10,,132995570.0
2000,ARE,NOR,,,82,6468046.0
2000,ARE,NPL,,4,,27833053.0
2000,ARE,NZL,,,411,192244111.0
2000,ARE,OMN,6,21,,1323260625.0
2000,ARE,PAK,6,51,,
2000,ARE,PAN,,,,37373.0
2000,ARE,PER,,,,2662323.0
2000,ARE,PHL,6,7,,815946607.0
2000,ARE,POL,,2,,5046744.0
2000,ARE,PRT,,2,,15874072.0
2000,ARE,PSE,,,10145,
2000,ARE,PYF,,,,62791.0
2000,ARE,QAT,6,10,46625,221036071.0
2000,ARE,ROU,,3,,5114581.0
2000,ARE,RUS,6,39,,12833061.0
2000,ARE,RWA,,1,,
2000,ARE,SAU,6,47,,538054981.0
2000,ARE,SCG,,,,340000.0
2000,ARE,SDN,6,,,93741729.0
2000,ARE,SEN,,1,,3455853.0
2000,ARE,SGP,,11,,1339802797.0
2000,ARE,SOM,,5,,
2000,ARE,SRB,,3,,
2000,ARE,SVK,,,43,1588723.0
2000,ARE,SVN,,,2,804016.0
2000,ARE,SWE,,2,,13342817.0
2000,ARE,SWZ,,,,65928.0
2000,ARE,SYC,,4,,
2000,ARE,SYR,6,,,
2000,ARE,TGO,,,,86792.0
2000,ARE,THA,,9,,1589020055.0
2000,ARE,TJK,,3,,
2000,ARE,TKM,,2,,144910109.0
2000,ARE,TTO,,,,23671.0
2000,ARE,TUN,6,2,,15013921.0
2000,ARE,TUR,6,8,146,37712761.0
2000,ARE,TWN,,1,,560794867.0
2000,ARE,TZA,,1,,47491814.0
2000,ARE,UGA,,1,,46227396.0
2000,ARE,UKR,,10,,
2000,ARE,URY,,,,1234647.0
2000,ARE,USA,4,24,,813283328.0
2000,ARE,UZB,,2,,
2000,ARE,VEN,,,,2566114.0
2000,ARE,VNM,,3,,7835156.0
2000,ARE,YEM,6,11,,
2000,ARE,ZAF,6,10,,129461074.0
2000,ARE,ZMB,,1,,
2000,ARE,ZWE,,,,5060996.0
2000,ARG,AGO,,,,11930544.0
2000,ARG,ALB,,,,140511.0
2000,ARG,AND,,,151,29621.0
2000,ARG,ARE,6,,,94536789.0
2000,ARG,ARM,,,,39161.0
2000,ARG,ATG,,,,229759.0
2000,ARG,AUS,6,,12032,70153219.0
